State,County Name,Indicator,Total deaths,COVID-19 Deaths,Non-Hispanic White,Non-Hispanic Black,Non-Hispanic American Indian or Alaska Native,Non-Hispanic Asian,Non-Hispanic Native Hawaiian or Other Pacific Islander,Hispanic,Other
LA,Lafayette Parish,Distribution of population (%),3342,436,0.652,0.265,0.003,0.019,0,0.046,0.015
LA,Lafourche Parish,Distribution of all-cause deaths (%),1130,172,0.803,0.163,0.016,,,0.013,
LA,Lafourche Parish,Distribution of COVID-19 deaths (%),1130,172,0.703,0.262,,,,,
LA,Lafourche Parish,Distribution of population (%),1130,172,0.768,0.133,0.028,0.008,0,0.044,0.018
LA,Orleans Parish,Distribution of all-cause deaths (%),4982,517,0.36,0.588,,0.014,,0.033,0.003
LA,Orleans Parish,Distribution of COVID-19 deaths (%),4982,517,0.275,0.671,,,,0.046,
LA,Orleans Parish,Distribution of population (%),4982,517,0.309,0.59,0.002,0.029,0,0.055,0.014
LA,Ouachita Parish,Distribution of all-cause deaths (%),2576,502,0.652,0.337,,,,0.007,
LA,Ouachita Parish,Distribution of COVID-19 deaths (%),2576,502,0.622,0.359,,,,,
LA,Ouachita Parish,Distribution of population (%),2576,502,0.578,0.374,0.003,0.01,0,0.022,0.012
LA,Rapides Parish,Distribution of all-cause deaths (%),2625,413,0.675,0.306,,,,0.01,
LA,Rapides Parish,Distribution of COVID-19 deaths (%),2625,413,0.625,0.334,,,,,
LA,Rapides Parish,Distribution of population (%),2625,413,0.61,0.317,0.008,0.014,0,0.032,0.019
LA,St. Landry Parish,Distribution of all-cause deaths (%),1175,175,0.62,0.374,,,,,
LA,St. Landry Parish,Distribution of COVID-19 deaths (%),1175,175,0.634,0.366,,,,,
LA,St. Landry Parish,Distribution of population (%),1175,175,0.545,0.412,0.003,0.004,0,0.024,0.012
LA,St. Tammany Parish,Distribution of all-cause deaths (%),3369,449,0.838,0.126,,0.005,,0.027,
LA,St. Tammany Parish,Distribution of COVID-19 deaths (%),3369,449,0.771,0.185,,,,0.031,
LA,St. Tammany Parish,Distribution of population (%),3369,449,0.78,0.125,0.005,0.014,0,0.059,0.018
LA,Tangipahoa Parish,Distribution of all-cause deaths (%),1576,180,0.719,0.264,,,,0.012,
LA,Tangipahoa Parish,Distribution of COVID-19 deaths (%),1576,180,0.706,0.272,,,,,
LA,Tangipahoa Parish,Distribution of population (%),1576,180,0.631,0.301,0.003,0.007,0,0.044,0.014
LA,Terrebonne Parish,Distribution of all-cause deaths (%),1343,143,0.746,0.188,0.039,0.008,,0.015,
LA,Terrebonne Parish,Distribution of COVID-19 deaths (%),1343,143,0.657,0.259,,,,,
LA,Terrebonne Parish,Distribution of population (%),1343,143,0.665,0.189,0.058,0.01,0.001,0.051,0.026
MA,Barnstable County,Distribution of all-cause deaths (%),3272,259,0.943,0.022,,0.004,,0.007,0.022
MA,Barnstable County,Distribution of COVID-19 deaths (%),3272,259,0.903,,,,,,
MA,Barnstable County,Distribution of population (%),3272,259,0.895,0.032,0.006,0.015,0,0.034,0.018
MA,Berkshire County,Distribution of all-cause deaths (%),1848,194,0.96,0.021,,0.005,,0.008,
MA,Berkshire County,Distribution of COVID-19 deaths (%),1848,194,0.943,,,,,,
MA,Berkshire County,Distribution of population (%),1848,194,0.876,0.032,0.002,0.016,0,0.051,0.022
MA,Bristol County,Distribution of all-cause deaths (%),6407,990,0.899,0.025,0.002,0.006,,0.027,0.042
MA,Bristol County,Distribution of COVID-19 deaths (%),6407,990,0.881,0.035,,,,0.035,0.039
MA,Bristol County,Distribution of population (%),6407,990,0.818,0.05,0.002,0.024,0.001,0.086,0.02
MA,Essex County,Distribution of all-cause deaths (%),8850,1444,0.892,0.018,,0.013,,0.072,0.005
MA,Essex County,Distribution of COVID-19 deaths (%),8850,1444,0.837,0.027,,0.012,,0.12,
MA,Essex County,Distribution of population (%),8850,1444,0.69,0.035,0.001,0.037,0,0.222,0.014
MA,Hampden County,Distribution of all-cause deaths (%),6685,1019,0.794,0.066,,0.009,,0.121,0.009
MA,Hampden County,Distribution of COVID-19 deaths (%),6685,1019,0.763,0.076,,0.015,,0.139,
MA,Hampden County,Distribution of population (%),6685,1019,0.614,0.077,0.001,0.026,0,0.263,0.017
MA,Hampshire County,Distribution of all-cause deaths (%),1451,166,0.93,0.022,,0.011,,0.023,0.014
MA,Hampshire County,Distribution of COVID-19 deaths (%),1451,166,0.934,,,,,,
MA,Hampshire County,Distribution of population (%),1451,166,0.833,0.029,0.002,0.056,0,0.059,0.021
MA,Middlesex County,Distribution of all-cause deaths (%),14110,2549,0.882,0.038,,0.043,,0.03,0.007
MA,Middlesex County,Distribution of COVID-19 deaths (%),14110,2549,0.861,0.047,,0.041,,0.043,0.007
MA,Middlesex County,Distribution of population (%),14110,2549,0.712,0.053,0.001,0.13,0,0.083,0.021
MA,Norfolk County,Distribution of all-cause deaths (%),6662,971,0.882,0.053,,0.041,,0.017,0.005
MA,Norfolk County,Distribution of COVID-19 deaths (%),6662,971,0.839,0.07,,0.063,,0.023,
MA,Norfolk County,Distribution of population (%),6662,971,0.737,0.073,0.001,0.119,0,0.05,0.019
MA,Plymouth County,Distribution of all-cause deaths (%),5552,818,0.897,0.077,,0.006,,0.014,0.006
MA,Plymouth County,Distribution of COVID-19 deaths (%),5552,818,0.825,0.139,,,,0.022,
MA,Plymouth County,Distribution of population (%),5552,818,0.811,0.11,0.002,0.016,0.001,0.042,0.019
MA,Suffolk County,Distribution of all-cause deaths (%),10497,1748,0.662,0.18,0.001,0.055,,0.092,0.01
MA,Suffolk County,Distribution of COVID-19 deaths (%),10497,1748,0.562,0.215,,0.067,,0.146,0.009
MA,Suffolk County,Distribution of population (%),10497,1748,0.452,0.201,0.002,0.091,0.001,0.233,0.021
MA,Worcester County,Distribution of all-cause deaths (%),9399,1524,0.864,0.028,0.001,0.014,,0.055,0.038
MA,Worcester County,Distribution of COVID-19 deaths (%),9399,1524,0.851,0.027,,0.024,,0.07,0.027
MA,Worcester County,Distribution of population (%),9399,1524,0.757,0.048,0.002,0.053,0,0.122,0.018
MD,Allegany County,Distribution of all-cause deaths (%),1392,227,0.957,0.034,,,,,
MD,Allegany County,Distribution of COVID-19 deaths (%),1392,227,0.938,0.057,,,,,
MD,Allegany County,Distribution of population (%),1392,227,0.866,0.081,0.002,0.011,0.001,0.019,0.02
MD,Anne Arundel County,Distribution of all-cause deaths (%),5640,595,0.762,0.198,,0.015,,0.021,0.002
MD,Anne Arundel County,Distribution of COVID-19 deaths (%),5640,595,0.637,0.291,,0.018,,0.047,
MD,Anne Arundel County,Distribution of population (%),5640,595,0.666,0.175,0.003,0.041,0.001,0.084,0.03
MD,Baltimore County,Distribution of all-cause deaths (%),10386,1183,0.691,0.272,0.001,0.018,,0.014,0.003
MD,Baltimore County,Distribution of COVID-19 deaths (%),10386,1183,0.582,0.357,,0.027,,0.03,
MD,Baltimore County,Distribution of population (%),10386,1183,0.558,0.295,0.003,0.062,0,0.058,0.023
MD,Carroll County,Distribution of all-cause deaths (%),2029,238,0.944,0.037,,0.006,,0.01,
MD,Carroll County,Distribution of COVID-19 deaths (%),2029,238,0.92,0.059,,,,,
MD,Carroll County,Distribution of population (%),2029,238,0.883,0.037,0.002,0.02,0,0.039,0.018
MD,Cecil County,Distribution of all-cause deaths (%),1196,123,0.904,0.074,,,,0.011,
MD,Cecil County,Distribution of COVID-19 deaths (%),1196,123,0.919,,,,,,
MD,Cecil County,Distribution of population (%),1196,123,0.846,0.068,0.003,0.014,0.001,0.047,0.023
MD,Charles County,Distribution of all-cause deaths (%),1238,126,0.575,0.374,,0.015,,0.021,
MD,Charles County,Distribution of COVID-19 deaths (%),1238,126,0.444,0.46,,,,,
MD,Charles County,Distribution of population (%),1238,126,0.372,0.489,0.006,0.033,0.001,0.062,0.037
MD,Frederick County,Distribution of all-cause deaths (%),2310,247,0.865,0.081,,0.019,,0.033,
MD,Frederick County,Distribution of COVID-19 deaths (%),2310,247,0.822,0.109,,,,0.061,
MD,Frederick County,Distribution of population (%),2310,247,0.717,0.099,0.002,0.048,0.001,0.105,0.027
MD,Harford County,Distribution of all-cause deaths (%),2607,196,0.86,0.11,,0.011,,0.013,0.004
MD,Harford County,Distribution of COVID-19 deaths (%),2607,196,0.776,0.184,,,,,
MD,Harford County,Distribution of population (%),2607,196,0.75,0.143,0.002,0.03,0.001,0.048,0.026
MD,Howard County,Distribution of all-cause deaths (%),2091,177,0.661,0.214,,0.088,,0.03,0.005
MD,Howard County,Distribution of COVID-19 deaths (%),2091,177,0.52,0.232,,0.124,,0.113,
MD,Howard County,Distribution of population (%),2091,177,0.502,0.196,0.002,0.192,0.001,0.073,0.034
MD,Montgomery County,Distribution of all-cause deaths (%),9361,1792,0.57,0.234,0.001,0.088,,0.103,0.004
MD,Montgomery County,Distribution of COVID-19 deaths (%),9361,1792,0.435,0.252,,0.089,,0.215,0.006
MD,Montgomery County,Distribution of population (%),9361,1792,0.429,0.187,0.002,0.153,0,0.201,0.028
MD,Prince George's County,Distribution of all-cause deaths (%),7086,996,0.212,0.699,0.002,0.026,,0.059,0.003
MD,Prince George's County,Distribution of COVID-19 deaths (%),7086,996,0.147,0.687,,0.028,,0.136,
MD,Prince George's County,Distribution of population (%),7086,996,0.123,0.617,0.002,0.042,0,0.195,0.02
MD,St. Mary's County,Distribution of all-cause deaths (%),1003,121,0.794,0.17,,0.015,,0.016,
MD,St. Mary's County,Distribution of COVID-19 deaths (%),1003,121,0.669,0.281,,,,,
MD,St. Mary's County,Distribution of population (%),1003,121,0.734,0.144,0.003,0.028,0.001,0.056,0.033
MD,Washington County,Distribution of all-cause deaths (%),2251,289,0.919,0.061,,,,0.012,
MD,Washington County,Distribution of COVID-19 deaths (%),2251,289,0.882,0.087,,,,,
MD,Washington County,Distribution of population (%),2251,289,0.774,0.119,0.002,0.019,0.001,0.058,0.028
MD,Wicomico County,Distribution of all-cause deaths (%),1790,240,0.735,0.237,,0.013,,0.013,
MD,Wicomico County,Distribution of COVID-19 deaths (%),1790,240,0.6,0.338,,,,,
MD,Wicomico County,Distribution of population (%),1790,240,0.62,0.267,0.002,0.03,0,0.055,0.025
MD,Baltimore city,Distribution of all-cause deaths (%),10933,1205,0.367,0.584,0.002,0.017,,0.026,0.004
MD,Baltimore city,Distribution of COVID-19 deaths (%),10933,1205,0.297,0.607,,0.024,,0.068,
MD,Baltimore city,Distribution of population (%),10933,1205,0.277,0.618,0.003,0.027,0,0.057,0.019
ME,Cumberland County,Distribution of all-cause deaths (%),4405,225,0.97,0.01,0.005,0.006,,0.003,0.006
ME,Cumberland County,Distribution of COVID-19 deaths (%),4405,225,0.933,,,,,,
ME,Cumberland County,Distribution of population (%),4405,225,0.901,0.031,0.003,0.024,0,0.022,0.019
ME,Penobscot County,Distribution of all-cause deaths (%),2489,109,0.963,0.006,0.013,,,,0.012
ME,Penobscot County,Distribution of COVID-19 deaths (%),2489,109,0.954,,,,,,
ME,Penobscot County,Distribution of population (%),2489,109,0.934,0.009,0.013,0.012,0,0.015,0.017
ME,York County,Distribution of all-cause deaths (%),1793,101,0.983,,,,,,
ME,York County,Distribution of COVID-19 deaths (%),1793,101,0.99,,,,,,
ME,York County,Distribution of population (%),1793,101,0.939,0.01,0.003,0.013,0,0.018,0.016
MI,Bay County,Distribution of all-cause deaths (%),1821,244,0.953,0.016,,,,0.024,
MI,Bay County,Distribution of COVID-19 deaths (%),1821,244,0.934,,,,,,
MI,Bay County,Distribution of population (%),1821,244,0.898,0.016,0.005,0.006,0,0.055,0.02
MI,Berrien County,Distribution of all-cause deaths (%),2011,209,0.838,0.132,,,,0.013,0.009
MI,Berrien County,Distribution of COVID-19 deaths (%),2011,209,0.77,0.167,,,,,
MI,Berrien County,Distribution of population (%),2011,209,0.747,0.145,0.005,0.021,0.001,0.058,0.024
MI,Calhoun County,Distribution of all-cause deaths (%),1896,144,0.869,0.102,,,,0.013,0.011
MI,Calhoun County,Distribution of COVID-19 deaths (%),1896,144,0.806,0.174,,,,,
MI,Calhoun County,Distribution of population (%),1896,144,0.771,0.108,0.006,0.029,0,0.055,0.032
MI,Genesee County,Distribution of all-cause deaths (%),6038,636,0.763,0.208,0.003,0.002,,0.019,0.004
MI,Genesee County,Distribution of COVID-19 deaths (%),6038,636,0.682,0.285,,,,0.02,
MI,Genesee County,Distribution of population (%),6038,636,0.724,0.2,0.005,0.01,0,0.036,0.026
MI,Grand Traverse County,Distribution of all-cause deaths (%),1663,109,0.967,,0.011,,,0.008,0.009
MI,Grand Traverse County,Distribution of COVID-19 deaths (%),1663,109,0.927,,,,,,
MI,Grand Traverse County,Distribution of population (%),1663,109,0.926,0.007,0.011,0.008,0,0.03,0.018
MI,Ingham County,Distribution of all-cause deaths (%),3770,345,0.826,0.116,0.004,0.007,,0.038,0.009
MI,Ingham County,Distribution of COVID-19 deaths (%),3770,345,0.733,0.177,,,,0.075,
MI,Ingham County,Distribution of population (%),3770,345,0.691,0.117,0.004,0.069,0,0.08,0.037
MI,Jackson County,Distribution of all-cause deaths (%),2268,254,0.902,0.072,,,,0.015,0.009
MI,Jackson County,Distribution of COVID-19 deaths (%),2268,254,0.803,0.185,,,,,
MI,Jackson County,Distribution of population (%),2268,254,0.845,0.079,0.003,0.009,0,0.036,0.027
MI,Kalamazoo County,Distribution of all-cause deaths (%),3702,423,0.868,0.096,0.004,0.003,,0.02,0.01
MI,Kalamazoo County,Distribution of COVID-19 deaths (%),3702,423,0.83,0.099,,,,0.047,
MI,Kalamazoo County,Distribution of population (%),3702,423,0.77,0.114,0.004,0.028,0,0.052,0.033
MI,Kent County,Distribution of all-cause deaths (%),7361,745,0.848,0.093,0.004,0.006,,0.04,0.008
MI,Kent County,Distribution of COVID-19 deaths (%),7361,745,0.76,0.113,,,,0.111,
MI,Kent County,Distribution of population (%),7361,745,0.733,0.097,0.003,0.033,0,0.108,0.025
MI,Macomb County,Distribution of all-cause deaths (%),9772,1199,0.863,0.107,0.002,0.01,,0.008,0.01
MI,Macomb County,Distribution of COVID-19 deaths (%),9772,1199,0.774,0.18,,0.018,,0.008,0.017
MI,Macomb County,Distribution of population (%),9772,1199,0.78,0.124,0.003,0.042,0,0.028,0.024
MI,Muskegon County,Distribution of all-cause deaths (%),2364,313,0.831,0.119,0.008,,,0.028,0.012
MI,Muskegon County,Distribution of COVID-19 deaths (%),2364,313,0.789,0.115,,,,0.077,
MI,Muskegon County,Distribution of population (%),2364,313,0.764,0.137,0.008,0.006,0,0.058,0.027
MI,Oakland County,Distribution of all-cause deaths (%),16169,2304,0.762,0.199,0.001,0.015,,0.016,0.006
MI,Oakland County,Distribution of COVID-19 deaths (%),16169,2304,0.665,0.285,,0.021,,0.02,0.009
MI,Oakland County,Distribution of population (%),16169,2304,0.715,0.137,0.002,0.081,0,0.043,0.021
MI,Ottawa County,Distribution of all-cause deaths (%),2347,228,0.928,0.018,,,,0.04,0.007
MI,Ottawa County,Distribution of COVID-19 deaths (%),2347,228,0.86,,,,,0.092,
MI,Ottawa County,Distribution of population (%),2347,228,0.834,0.016,0.003,0.028,0,0.102,0.017
MI,Saginaw County,Distribution of all-cause deaths (%),3390,531,0.794,0.153,,,,0.043,0.006
MI,Saginaw County,Distribution of COVID-19 deaths (%),3390,531,0.772,0.149,,,,0.072,
MI,Saginaw County,Distribution of population (%),3390,531,0.691,0.184,0.003,0.014,0,0.087,0.02
MI,St. Clair County,Distribution of all-cause deaths (%),2098,198,0.95,0.027,,,,0.014,0.005
MI,St. Clair County,Distribution of COVID-19 deaths (%),2098,198,0.919,0.051,,,,,
MI,St. Clair County,Distribution of population (%),2098,198,0.91,0.024,0.004,0.006,0,0.035,0.021
MI,Washtenaw County,Distribution of all-cause deaths (%),4572,460,0.815,0.136,0.003,0.015,,0.022,0.009
MI,Washtenaw County,Distribution of COVID-19 deaths (%),4572,460,0.691,0.252,,,,0.035,
MI,Washtenaw County,Distribution of population (%),4572,460,0.701,0.12,0.003,0.093,0,0.049,0.033
MI,Wayne County,Distribution of all-cause deaths (%),24150,3257,0.53,0.421,0.002,0.008,,0.025,0.014
MI,Wayne County,Distribution of COVID-19 deaths (%),24150,3257,0.436,0.498,,0.01,,0.033,0.022
MI,Wayne County,Distribution of population (%),24150,3257,0.494,0.382,0.003,0.035,0,0.061,0.024
MN,Anoka County,Distribution of all-cause deaths (%),2748,436,0.924,0.028,0.007,0.024,,0.01,0.007
MN,Anoka County,Distribution of COVID-19 deaths (%),2748,436,0.915,0.028,,,,,
MN,Anoka County,Distribution of population (%),2748,436,0.797,0.072,0.006,0.049,0,0.049,0.027
MN,Dakota County,Distribution of all-cause deaths (%),2686,235,0.927,0.024,,0.019,,0.021,0.005
MN,Dakota County,Distribution of COVID-19 deaths (%),2686,235,0.894,,,,,0.043,
MN,Dakota County,Distribution of population (%),2686,235,0.771,0.072,0.004,0.051,0.001,0.076,0.026
MN,Hennepin County,Distribution of all-cause deaths (%),13335,1866,0.827,0.097,0.018,0.029,,0.02,0.009
MN,Hennepin County,Distribution of COVID-19 deaths (%),13335,1866,0.783,0.107,0.02,0.045,,0.041,
MN,Hennepin County,Distribution of population (%),13335,1866,0.684,0.135,0.007,0.075,0,0.07,0.029
MN,Olmsted County,Distribution of all-cause deaths (%),2394,173,0.919,0.034,,0.021,,0.018,0.005
MN,Olmsted County,Distribution of COVID-19 deaths (%),2394,173,0.827,0.081,,,,,
MN,Olmsted County,Distribution of population (%),2394,173,0.79,0.067,0.003,0.065,0.001,0.052,0.023
MN,Ramsey County,Distribution of all-cause deaths (%),6752,1065,0.811,0.074,0.01,0.068,,0.029,0.008
MN,Ramsey County,Distribution of COVID-19 deaths (%),6752,1065,0.746,0.069,,0.118,,0.052,
MN,Ramsey County,Distribution of population (%),6752,1065,0.611,0.124,0.006,0.152,0,0.075,0.033
MN,St. Louis County,Distribution of all-cause deaths (%),3368,363,0.957,0.006,0.028,0.003,,,0.003
MN,St. Louis County,Distribution of COVID-19 deaths (%),3368,363,0.948,,0.036,,,,
MN,St. Louis County,Distribution of population (%),3368,363,0.908,0.016,0.022,0.011,0,0.018,0.024
MN,Stearns County,Distribution of all-cause deaths (%),2144,309,0.942,0.021,0.014,0.005,,0.012,0.007
MN,Stearns County,Distribution of COVID-19 deaths (%),2144,309,0.926,,,,,,
MN,Stearns County,Distribution of population (%),2144,309,0.845,0.076,0.003,0.023,0,0.036,0.017
MN,Washington County,Distribution of all-cause deaths (%),1859,186,0.941,0.016,,0.022,,0.013,0.006
MN,Washington County,Distribution of COVID-19 deaths (%),1859,186,0.952,,,,,,
MN,Washington County,Distribution of population (%),1859,186,0.816,0.048,0.004,0.064,0.001,0.045,0.023
MO,Boone County,Distribution of all-cause deaths (%),2682,314,0.904,0.069,,0.01,,0.009,0.006
MO,Boone County,Distribution of COVID-19 deaths (%),2682,314,0.898,0.064,,,,,
MO,Boone County,Distribution of population (%),2682,314,0.784,0.096,0.003,0.05,0.001,0.035,0.031
MO,Buchanan County,Distribution of all-cause deaths (%),1480,205,0.946,0.033,,,,0.014,
MO,Buchanan County,Distribution of COVID-19 deaths (%),1480,205,0.917,,,,,,
MO,Buchanan County,Distribution of population (%),1480,205,0.823,0.057,0.004,0.014,0.004,0.068,0.029
MO,Camden County,Distribution of all-cause deaths (%),751,107,0.977,,,,,,0.013
MO,Camden County,Distribution of COVID-19 deaths (%),751,107,0.972,,,,,,
MO,Camden County,Distribution of population (%),751,107,0.939,0.006,0.006,0.006,0.001,0.028,0.014
MO,Cape Girardeau County,Distribution of all-cause deaths (%),1817,227,0.931,0.058,,,,0.006,
MO,Cape Girardeau County,Distribution of COVID-19 deaths (%),1817,227,0.907,0.075,,,,,
MO,Cape Girardeau County,Distribution of population (%),1817,227,0.855,0.077,0.003,0.019,0,0.025,0.021
MO,Clay County,Distribution of all-cause deaths (%),2962,395,0.915,0.035,,0.008,,0.028,0.009
MO,Clay County,Distribution of COVID-19 deaths (%),2962,395,0.901,0.03,,,,0.046,
